"year","doy","hour","SolarR","Temp","RH","WS","precip"
2016,61,0,48287750.2441406,10.3974853515625,0.612550010681152,3.25699996948242,0
2016,61,2,-3105499.98283386,6.44326171875002,0.735400009155273,1.40174996852875,0
2016,61,2,-3388000.01144409,5.67925415039065,0.809250030517578,0.804000020027161,0
2016,61,4,-3388000.01144409,5.2130065917969,0.824000015258789,1.81774997711182,0
2016,61,4,-3388249.87411499,3.50875244140627,0.850250015258789,1.34049999713898,0
2016,61,6,-3388999.93896484,3.05800781250002,0.873249969482422,1.03125,0
2016,61,6,-3388999.93896484,2.83974609375002,0.882999954223633,1.45724999904633,0
2016,61,8,-3388999.93896484,3.4160095214844,0.894250030517578,1.64225006103516,0
2016,61,8,-3388750.07629395,3.85775146484377,0.867249984741211,2.47924995422363,0
2016,61,10,-3388999.93896484,1.9945007324219,0.9025,2.07399988174438,0
2016,61,10,-3388999.93896484,1.69149169921877,0.944000015258789,1.72074997425079,0
2016,61,12,-3388999.93896484,2.26723632812502,0.94125,1.78250002861023,0
2016,61,12,-3388999.93896484,2.79549560546877,0.930250015258789,2.4689998626709,0
2016,61,14,4348999.97711182,3.15401611328127,0.927750015258789,3.15599989891052,0
2016,61,14,103437500,5.14776000976565,0.874250030517578,3.36174988746643,0
2016,61,16,223324996.948242,6.78325805664065,0.806074981689453,3.16974997520447,0
2016,61,16,150550003.051758,7.89626464843752,0.798249969482422,3.95700001716614,0
2016,61,18,219250000,8.01076660156252,0.8425,4.75750017166138,0
2016,61,18,188125000,2.78524169921877,0.906000061035156,9.22749996185303,0
2016,61,20,161300003.051758,0.240747070312523,0.947249984741211,9.11000061035156,0
2016,61,20,184100006.103516,-0.686254882812477,0.931750030517578,9.21000003814697,0
2016,61,22,176500000,-1.74423828124998,0.91875,9.25500011444092,0
2016,61,22,109099998.474121,-2.64725341796873,0.880250015258789,8.86750030517578,0
2016,62,0,18135749.8168945,-3.32425537109373,0.790325012207031,8.06799983978271,0
2016,62,2,-3305250.16784668,-3.51999511718748,0.797900009155273,7.59000015258789,0
2016,62,2,-3390000.10490417,-3.60150756835935,0.793199996948242,6.86724996566772,0
2016,62,4,-3390000.10490417,-3.70725097656248,0.734799957275391,6.49125003814697,0
2016,62,4,-3390000.10490417,-3.43851318359373,0.74307502746582,5.48600006103516,0
2016,62,6,-3390000.10490417,-3.39401855468748,0.779175033569336,4.42574977874756,0
2016,62,6,-3390000.10490417,-3.72550048828123,0.806500015258789,4.71449995040894,0
2016,62,8,-3390000.10490417,-3.87851562499998,0.81125,3.85500001907349,0
2016,62,8,-3390000.10490417,-4.25424804687498,0.810999984741211,3.61525011062622,0
2016,62,10,-3390000.10490417,-4.56500854492185,0.791975021362305,3.76049995422363,0
2016,62,10,-3390000.10490417,-4.66950073242185,0.794875030517578,2.7979998588562,0
2016,62,12,-3390000.10490417,-5.47525634765623,0.810475006103516,3.72424983978271,0
2016,62,12,-3390250.20599365,-7.33051147460935,0.858499984741211,2.47049999237061,0
2016,62,14,30454750.0610352,-8.14023437499998,0.859000015258789,1.58975005149841,0
2016,62,14,294325012.207031,-6.93948974609373,0.819850006103516,1.86624991893768,0
2016,62,16,689575012.207031,-4.94949951171873,0.731575012207031,2.10649991035461,0
2016,62,16,1004250000,-3.3172668457031,0.690525054931641,2.58150005340576,0
2016,62,18,1.312e+09,-1.73276367187498,0.634775009155273,2.32675004005432,0
2016,62,18,1473250000,0.623742675781273,0.501275024414062,2.05900001525879,0
2016,62,20,1424250000,1.72075805664065,0.408274993896484,2.26824998855591,0
2016,62,20,1241500000,3.13973388671877,0.357449989318848,2.63800001144409,0
2016,62,22,781775024.414062,3.35799560546877,0.35002498626709,2.5792498588562,0
2016,62,22,622025024.414062,3.7390075683594,0.380574989318848,2.66074991226196,0
2016,63,0,29053749.0844727,1.15200195312502,0.570424995422363,2.92074990272522,0
2016,63,2,-3064249.99237061,0.581262207031273,0.667324981689453,2.08800005912781,0
2016,63,2,-3388999.93896484,0.584985351562523,0.697900009155273,2.62774991989136,0
2016,63,4,-3388999.93896484,0.653741455078148,0.731025009155273,3.00174999237061,0
2016,63,4,-3388999.93896484,0.630273437500023,0.755424957275391,2.8972499370575,0
2016,63,6,-3388999.93896484,0.489770507812523,0.785025024414063,2.74125003814697,0
2016,63,6,-3388999.93896484,0.511743164062523,0.795424957275391,4.4060001373291,0
2016,63,8,-3388999.93896484,0.450769042968773,0.835999984741211,4.56099987030029,0
2016,63,8,-3388999.93896484,0.308496093750023,0.857249984741211,4.50699996948242,0
2016,63,10,-3388999.93896484,0.0352416992187727,0.87625,5.04924964904785,0
2016,63,10,-3388999.93896484,-0.276495361328102,0.859250030517578,5.16074991226196,0
2016,63,12,-3388999.93896484,-0.192510986328102,0.870750045776367,3.38849997520447,0
2016,63,12,-3388999.93896484,-0.150488281249977,0.871750030517578,3.35699987411499,0
2016,63,14,3656749.96376038,0.296746826171898,0.859749984741211,3.51399993896484,0
2016,63,14,24947500.2288818,0.842736816406273,0.833249969482422,3.26900005340576,0
2016,63,16,57595001.2207031,0.819482421875023,0.890999984741211,2.39774990081787,1800
2016,63,16,92322494.5068359,1.36174926757815,0.936750030517578,1.91300010681152,1800
2016,63,18,128350006.103516,2.02724609375002,0.956500015258789,2.31349992752075,1800
2016,63,18,295524993.896484,2.68898925781252,0.966499938964844,4.61250019073486,1800
2016,63,20,188075012.207031,3.38173828125002,0.964250030517578,2.61875009536743,900
2016,63,20,164050003.051758,3.7759948730469,0.967249984741211,2.08150005340576,0
